Country C,Maturity Mapping,,Medium Impact,,Small Impact,,,,,,,,,,
Strategy,20,,,,,,,,,,,,,,
Legal,37,,,,,,,,,,,,,,
Funding,25,,,,,,,,,,,,,,
Tech Capacity,33,,,,,,,,,,,,,,
Tech Innovation,41,,,,,,,,,,,,,,
Skills,29,,,,,,,,,,,,,,
Ethics,45,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total Maturity Score,230,,,,,,,,,,,,,,
Total Possible Score,485,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Large Impact Negative External Infulence,Amount,Medium Impact Negative External Influence,Amount,Small Impact Negative External Influence,Amount,,,,,,,,,,
,,,,Ageing Population,1,,,,,,,,,,
,,,,Failure to scale innovations,1,,,,,,,,,,
,,,,Resistance to machine learning tech,1,,,,,,,,,,
,,,,Geography - Distance/Timezone/Location,1,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total,0,Total,0,Total,4,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Large Impact Positive External Infulence,Amount,Medium Impact Negative Positive Influence,Amount,Small Impact Positive External Influence,Amount,,,,,,,,,,
,,,,Strong academic institutions,1,,,,,,,,,,
,,,,Multiculturalism,1,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Total,0,Total,0,Total,2,,,,,,,,,,